Atoms(symbols='W2', pbc=True, cell=[3.19, 3.19, 3.19])
[[0.  0.  0. ]
 [0.5 0.5 0.5]]
109 {'H': 0.6666666666666666, 'W': 0.3333333333333333} 6
110 {'H': 0.6, 'W': 0.4} 5
111 {'H': 0.5, 'W': 0.5} 4
112 {'H': 0.75, 'W': 0.25} 8
113 {'H': 0.7142857142857143, 'W': 0.2857142857142857} 7
114 {'H': 0.6666666666666666, 'W': 0.3333333333333333} 6
115 {'H': 0.6, 'W': 0.4} 5
116 {'H': 0.6666666666666666, 'W': 0.3333333333333333} 6
117 {'H': 0.6, 'W': 0.4} 5
118 {'H': 0.5, 'W': 0.5} 4
119 {'H': 0.6666666666666666, 'W': 0.3333333333333333} 6
120 {'H': 0.6, 'W': 0.4} 5
121 {'H': 0.5, 'W': 0.5} 4
122 {'H': 0.5, 'W': 0.5} 4
123 {'H': 0.5, 'W': 0.5} 4
124 {'H': 0.3333333333333333, 'W': 0.6666666666666666} 3
125 {'H': 0.0, 'W': 1.0} 2
