1.17946300992678 1.17946297114874 -nan 4 
-97.6794405874695 -97.6794405874695 -40435.8163210195 9 
-7.92565633801843 -7.92565727233887 102376.454377309 6 
-71.082231409064 -71.0822314090641 -911901.70891581 9 
-34.081805776894 -34.081805776894 -477101.096330485 6 
-580.018713628946 -580.018713628949 -25413867.9280921 7 
-18.6868778460182 -18.6868778460185 166679.130921442 8 
-79.2382677488311 -79.2382677488311 -808842.474433239 9 
-27.9713123785001 -27.9713123785001 403577.898922008 8 
-76.7243614564386 -76.7243614564386 -1156720.52016778 9 
-111.720907855781 -111.720907855781 -4019685.12779271 6 
