-nan -nan 835244318.005263 92 
186.354734555491 186.340947571922 26429017.3705783 24 
472.516181132922 472.495728812282 41165589.2072554 30 
2442.78610108041 2442.54504029075 144587366.123099 36 
17121.4788472598 17118.5412390282 442918367.818863 35 
1087.67636053868 1087.63713729351 70771980.7517717 36 
-562.263946884374 -562.268690038205 11970232.6159417 44 
974.4733255846 973.342467077799 111499707.008147 27 
578.979344489227 578.929419412355 62439300.4486399 25 
1510.38303510045 1510.38303463511 -1.19637889189069e+251 37 
-197.013294230436 -197.013294553586 3446584.83862467 26 
-165.338138621211 -165.338138996065 1846034.54995699 30 
-35.9067450193191 -35.9067453036914 7637238.67021311 23 
1118.46560743378 1118.46560691674 33646960.923848 41 
-154.690814910504 -154.690815233655 2368710.42326004 26 
147.552292026213 147.552291625507 15432221.3237328 32 
-2.25377125022073 -2.25377161214914 10214681.0015494 29 
7909.68773195439 7909.68773086861 57367569.8751106 85 
2104.77998405892 2104.77998333506 41437154.6162575 57 
943.753346955573 943.753346399754 29837736.762564 44 
